#BT Balkans reoverhaul

owner = CRH
controller = CRH
add_core = CRH
culture = arvanite			#Exact timeline unclear, but this would become a centre of the Arvanites in later years
religion = orthodox
capital = "Korinthos"
base_tax = 3
base_production = 3
base_manpower = 2
trade_goods = cloth			#Semi-generic for rich, recognisable city.
is_city = yes
hre = no
fort_15th = yes
add_local_autonomy = 25

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
