#BT Balkans reoverhaul
owner = BUL
controller = BUL
add_core = BUL
culture = bulgarian
religion = orthodox
capital = "Velbazhd"#Became Kyustendil under Ottomans
base_tax = 2
base_production = 2
base_manpower = 1
trade_goods = bt_trade_good_apiculture#Dub changed (from fruit): There was a good chunk of Apiculture in Bulgaria and according to 2nd Empire maps, this was one place where this was produced. This particular one can also be cloth.
is_city = yes
add_local_autonomy = 10
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
