#BT Italy reoverhaul

owner = PAP
controller = PAP
add_core = PAP
add_core = TIV
culture = umbrian
religion = catholic
capital = "Tivoli"
base_tax = 4
base_production = 4
base_manpower = 3
trade_goods = wine # wineyards. Could also be olives or paper. Really should be stone due to travertine deposits
is_city = yes
hre = no

discovered_by = western
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
