#BT Italy reoverhaul
owner = CRP
controller = CRP
add_core = CRP
culture = romagnan
religion = catholic
capital = "Carpegna"
base_tax = 4
base_production = 4
base_manpower = 4
trade_goods = salt# apparently not mined there, but most of Principality's wealth came from it. Also produced Gunpowder (?) and Livestock
is_city = yes
hre = yes
discovered_by = western
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = eastern
discovered_by = rhomanian_tech
fort_15th = yes
