#BT Italy reoverhaul

owner = PIS
controller = PIS
add_core = PIS
culture = tuscan
religion = catholic
capital = "Volterra"
base_tax = 5
base_production = 5
base_manpower = 3
trade_goods = glass			#Represents the pottery industry for now. Famous alum mines also located here. Nikicaga recommends stone trade good for Alabaster as well as alum.
is_city = yes
hre = no

discovered_by = western
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
