#BT Italy reoverhaul
owner = LOM
controller = LOM
add_core = LOM
culture = piedmontese
religion = waldensian
capital = "Biella"
base_tax = 3
base_production = 4
base_manpower = 2
trade_goods = gold#Intentional. Apparently gold was and still is an industry in the region. Also note wool is a major industry, and the obviously second choice.
is_city = yes
discovered_by = western
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = eastern
discovered_by = rhomanian_tech
