#BT Italy reoverhaul
owner = SAR
controller = SAR
add_core = SAR
culture = sardinian
religion = catholic
capital = "Ozieri"
base_tax = 1
base_production = 1
base_manpower = 1
trade_goods = grain#Probably keep grain here, known to be the most fertile area of Sardinia. As Nikicaga points out, also has wine, though I'm opting to keep poorer grain for the moment.
is_city = yes
discovered_by = western
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = eastern
discovered_by = rhomanian_tech
