#BT Balkans reoverhaul

owner = CDA
controller = CDA
add_core = CDA
add_core = CRT
culture = cretan
religion = catholic
capital = "Rethymno"			#Venetian Rettimo
base_tax = 2
base_production = 3
base_manpower = 1
trade_goods = bt_trade_good_fruit			#Olives, agriculture, also wine.
is_city = yes
hre = no

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
