#BT Balkans reoverhaul

owner = TSY
controller = TSY
add_core = TSY
add_core = AET
culture = yevani
religion = jewish
capital = "Neopatras"
base_tax = 2
base_production = 2
base_manpower = 1
trade_goods = wool			#For no reason in particular. Just seems hilly and a decent choice.
is_city = yes
hre = no
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
