#BT Balkans reoverhaul

owner = PCS
controller = PCS
add_core = PCS
culture = arvanite
religion = orthodox
capital = "Salona"			#Ancient and modern Amfissa
base_tax = 2
base_production = 2
base_manpower = 2
trade_goods = wine			#For no special reason
is_city = yes
hre = no
fort_15th = yes
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
