#BT Balkans reoverhaul

owner = TSL
controller = TSL
add_core = TSL
add_core = MDN
culture = macedonian
religion = bogomilist
capital = "Vodena"
base_tax = 2
base_production = 2
base_manpower = 2
trade_goods = grain			#Later became a major industrial centre, but no clear information in the early period. Calling it grain due to rich Lower Vardar valley in the eastern part of the province.
is_city = yes
hre = no
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
