#BT Balkans reoverhaul

owner = CLD
controller = CLD
add_core = CLD
culture = macedonian
religion = orthodox
capital = "Kavala"
base_tax = 2
base_production = 2
base_manpower = 1
trade_goods = fish			#Found some mention of BC mines and silver mining, possibly under Ottomans as well but unclear. Going with fishing, as Kavalan fishermen were apparently famous throughout Greece
is_city = yes
hre = no
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
