#BT Balkans reoverhaul

owner = TRC
controller = TRC
add_core = TRC
add_core = MDN
culture = macedonian
religion = orthodox
capital = "Xanthi"
base_tax = 2
base_production = 2
base_manpower = 1
trade_goods = cloth			#For little reason, though it is known today for its carnaval, for I figured cloth as a generic urban trade good. Also note tobacco would later become a major factor in this area.
is_city = yes
hre = no
fort_15th = yes
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
