#BT Balkans reoverhaul

owner = BGS
controller = BGS
add_core = BGS
culture = moesian
religion = orthodox
capital = "Sozopolis"
base_tax = 3
base_production = 3
base_manpower = 3
trade_goods = fish
is_city = yes
hre = no

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
