#BT Balkans reoverhaul
owner = BUL
controller = BUL
add_core = BUL
add_core = MDN
culture = moesian
religion = orthodox
capital = "Shtip"
base_tax = 3
base_production = 3
base_manpower = 2
trade_goods = iron#Dub changed (from grain): Supposedly a center of blacksmithing during 2nd Bulgarian Empire.
is_city = yes
add_local_autonomy = 10
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
