#BT Balkans reoverhaul

owner = TRC
controller = TRC
add_core = TRC
add_core = PHP
culture = moesian
religion = orthodox
capital = "Kopsis"
base_tax = 1
base_production = 1
base_manpower = 1
trade_goods = incense		#rose oil, worldwide famous Rose Valley
is_city = yes
hre = no
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
