#BT Balkans reoverhaul

owner = TRC
controller = TRC
add_core = TRC
culture = bulgarian			#Tough call... could just as easily be greek or turkish.
religion = orthodox
capital = "Çirmen"
base_tax = 3
base_production = 3
base_manpower = 2
trade_goods = cloth			#Major provincial centre under the Ottomans, so a generic rich city good.
is_city = yes
hre = no
fort_15th = yes
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = western
