#BT Balkans reoverhaul

owner = TRC
controller = TRC
add_core = TRC
add_core = YAB
culture = moesian
religion = iconoclast
capital = "Yambol"
base_tax = 1
base_production = 2
base_manpower = 1
trade_goods = grain			#major agricultural region
is_city = yes
hre = no
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
