#BT Balkans reoverhaul

owner = PAI
controller = PAI
add_core = PAI
culture = bulgarian
religion = orthodox
capital = "Shumen"
base_tax = 2
base_production = 2
base_manpower = 2
trade_goods = wine			#Nikicaga suggested a NE bulgarian province has wine, and this suits best.
is_city = yes
hre = no
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
