#BT Balkans reoverhaul

owner = PIS
controller = PIS
add_core = PIS
add_core = MOE
culture = morean
religion = orthodox
capital = "Monemvasia"
base_tax = 2
base_production = 2
base_manpower = 1
trade_goods = wine			#Malvasia wine
is_city = yes
hre = no
add_local_autonomy = 25

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
