#BT GDL reoverhaul

owner = LIT
controller = LIT
add_core = LIT
add_core = SMG
culture = samogitian
religion = baltic_pagan_reformed
capital = "Medininkai"
base_tax = 2
base_production = 2
base_manpower = 2
trade_goods = grain
is_city = yes
hre = no
fort_15th = yes #Medininkai Castle

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
