#BT GDL reoverhaul

owner = CHR
controller = CHR
add_core = CHR
culture = ruthenian
religion = orthodox
capital = "Hadyach"			#Oops... not actually located in this province, but nothing else decent seems to be nearby, and this town really deserves a province, so.... compromise for now.
base_tax = 1
base_production = 1
base_manpower = 1
trade_goods = bt_trade_good_beer
is_city = yes
hre = no
add_local_autonomy = 75

discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
discovered_by = nomad_group
