#BT GDL reoverhaul

owner = KIE
controller = KIE
add_core = KIE
culture = ruthenian
religion = orthodox
capital = "Zalishchyky"
base_tax = 1
base_production = 1
base_manpower = 2
trade_goods = bt_trade_good_beer
is_city = yes
hre = no
fort_15th = yes

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
