#BT GDL reoverhaul
owner = BSN
controller = BSN
add_core = BSN
add_core = BKV
culture = halych
religion = orthodox
capital = "Chernivtsi"
base_tax = 1
base_production = 1
base_manpower = 1
trade_goods = bt_trade_good_beer
is_city = yes
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
