#BT GDL reoverhaul

owner = MOL
controller = MOL
add_core = MOL
culture = moldavian_culture
religion = orthodox
capital = "Focshani"
base_tax = 2
base_production = 2
base_manpower = 1
trade_goods = wine
is_city = yes
hre = no

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
