#BT Balkans reoverhaul
owner = BUL
controller = BUL
add_core = BUL
culture = bulgarian
religion = orthodox
capital = "Pirot"
base_tax = 1
base_production = 2
base_manpower = 1
trade_goods = wool#Niki suggested cloth, but that is a bit too rich a trade good
is_city = yes
add_local_autonomy = 10
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
