#BT Balkans reoverhaul

owner = BUL
controller = BUL
add_core = BUL
culture = bulgarian
religion = orthodox
capital = "Lovech"
base_tax = 2 
base_production = 2 
base_manpower = 3 
trade_goods = bt_trade_good_apiculture #Dub changed (from grain): There was a good chunk of Apiculture in Bulgaria and according to 2nd Empire maps, this was one place where this was produced.
is_city = yes
hre = no
fort_15th = yes

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
