#BT Balkans reoverhaul

owner = CRO
controller = CRO
add_core = CRO
add_core = SER #Serbia controlled this city at least in 1422. Also it's required for a mission.
culture = serbian
religion = orthodox
capital = "Mitrovica"			#Sremska Mitrovica, specifically
base_tax = 2 
base_production = 2 
base_manpower = 1 
trade_goods = wine
is_city = yes
hre = no

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = western
