#BT Balkans reoverhaul

owner = BOS
controller = BOS
add_core = BOS
add_core = HRZ
culture = bosnian
religion = hussite
capital = "Duvno"
base_tax = 2
base_production = 2
base_manpower = 1
trade_goods = wool
is_city = yes
hre = yes

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
