#BT Balkans reoverhaul

owner = RAG
controller = RAG
add_core = RAG
culture = dalmatian
religion = catholic
capital = "Nerežisca"
base_tax = 1
base_production = 1
base_manpower = 1
trade_goods = fish #stone. Niki calls this the most important marble mine in the world.
is_city = yes
hre = yes

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
