#BT Balkans reoverhaul
owner = CRO
controller = CRO
add_core = CRO
culture = croatian
religion = bogomilist
capital = "Sisak"
base_tax = 2
base_production = 3
base_manpower = 2
trade_goods = bt_trade_good_fruit#fruit
is_city = yes
hre = yes
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
