#BT Balkans reoverhaul

owner = SLA
controller = SLA
add_core = SLA
culture = croatian
religion = bogomilist
capital = "Vukovar"
base_tax = 2 
base_production = 2 
base_manpower = 2 
trade_goods = grain
is_city = yes
hre = yes

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
