#BT Balkans reoverhaul
owner = HUN
controller = HUN
add_core = HUN
add_core = BNT
culture = transylvanian
religion = orthodox
capital = "Lugoj"
base_tax = 2
base_production = 1
base_manpower = 2
trade_goods = grain#Very rich agricultural floodplain
is_city = yes
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
