#BT Balkans reoverhaul

owner = BNT
controller = BNT
add_core = BNT
add_core = SEV
culture = transylvanian
religion = orthodox
capital = "Caransebes"
base_tax = 2
base_production = 2
base_manpower = 1
trade_goods = wool			#somewhat rugged landscape and nothing specific of note found
is_city = yes
hre = no

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = western
