#Sanggau, previously Putussibau

owner = SGG
controller = SGG
culture = bornean
religion = hinduism
capital = "Sanggau"
trade_goods = livestock
hre = no
base_tax = 2
base_production = 2
base_manpower = 1
is_city = yes
add_core = SGG

discovered_by = chinese
discovered_by = japanese_group
discovered_by = southeast_asian_group
discovered_by = indian
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman

1521.1.1 = { discovered_by = POR }

1659.1.1 = {
	religion = sunni
}
